name,qualifiedName,path,mark
ped.consumerMarketShareCoverage,consumerMarketShareCoverage,unknown,raw_dataset
ped.floorPriceEan,floorPriceEan,unknown,raw_dataset
mdm.countryHierarchy,countryHierarchy,unknown,raw_dataset
ped.weightingDesignSellin,weightingDesignSellin,unknown,raw_dataset
ped.weightingDesignSellout,weightingDesignSellout,unknown,raw_dataset
ped.pricingAnalyticsWeeklyPlatformReporting,pricingAnalyticsWeeklyPlatformReporting,unknown,clean_dataset
clean.sellinPricing,sellinPricing,unknown,raw_dataset
ped.sellin,sellin,unknown,clean_dataset
mdm.tireMaster,tireMaster,unknown,raw_dataset
clean.knowtrexMasterData,knowtrexMasterData,unknown,raw_dataset
clean.zero7zrPricing,zero7zrPricing,unknown,raw_dataset
clean.tire24DailyPricing,tire24DailyPricing,unknown,raw_dataset
clean.lizeoWeeklyPricing,lizeoWeeklyPricing,unknown,raw_dataset
clean.activePricingProducts,activePricingProducts,unknown,raw_dataset
clean.brandToTierMapping,brandToTierMapping,unknown,raw_dataset
mdm.consumerSizeMaster,consumerSizeMaster,unknown,raw_dataset
clean.groupedToBasketSizeTypeMapping,groupedToBasketSizeTypeMapping,unknown,raw_dataset
clean.basketDefinition,basketDefinition,unknown,raw_dataset
ped.tireMaster,tireMaster,unknown,clean_dataset
clean.vendavoTransactions,vendavoTransactions,unknown,raw_dataset
clean.edwExchangeRates,edwExchangeRates,unknown,raw_dataset
ped.vendavoTransactionsCalc,vendavoTransactionsCalc,unknown,clean_dataset
ped.weightingConfiguration,weightingConfiguration,unknown,clean_dataset
ped.vendavoTransactionsCalc,vendavoTransactionsCalc,unknown,raw_dataset
ped.tireMaster,tireMaster,unknown,raw_dataset
mdm.tireMaster,tireMaster,unknown,raw_dataset
ped.weightingConfiguration,weightingConfiguration,unknown,raw_dataset
ped.weightingDesignSellin,weightingDesignSellin,unknown,clean_dataset
ped.gfkconsumerbasketsizetype,gfkconsumerbasketsizetype,unknown,raw_dataset
ped.weightingConfiguration,weightingConfiguration,unknown,raw_dataset
ped.weightingDesignSellout,weightingDesignSellout,unknown,clean_dataset
manual.carAges,carAges,unknown,raw_dataset
clean.carAges,carAges,unknown,clean_dataset
clean.catchmentMapping,catchmentMapping,unknown,clean_dataset
clean.catchmentMappingWeb,catchmentMappingWeb,unknown,clean_dataset
manual.channelMapping,channelMapping,unknown,raw_dataset
clean.channelMapping,channelMapping,unknown,clean_dataset
manual.driveTime,driveTime,unknown,raw_dataset
clean.driveTime,driveTime,unknown,clean_dataset
clean.fleets.by2019.link,fleets.by2019.link,unknown,clean_dataset
clean.payerMapping,payerMapping,unknown,clean_dataset
