project_name,task_name,source_datasets,target_datasets,location
datalake-ped,PricingAnalyticsTask,"['ped.b2b', 'ped.b2c', 'ped.netSalesWeighting', 'ped.tireMaster', 'mdm.countryHierarchy', 'mdm.consumerSizeMaster', 'mdm.marketShareConsumerReplacementSemester']",['ped.pricinganalytics'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalytics/PricingAnalyticsTask.scala
datalake-ped,PricingAnalyticsBasketSizeTypeTask,"['ped.pricingAnalyticsWeeklyPlatformReporting', 'ped.consumerNetSalesBasketSizeTypeCoverage', 'ped.consumerMarketShareBasketSizeTypeCoverage']",['ped.pricinganalyticsbasketsizetype'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsbasketsizetype/PricingAnalyticsBasketSizeTypeTask.scala
datalake-ped,PricingAnalyticsBasketSizeTypeMonthlyTask,"['ped.pricinganalyticsbasketsizetype', 'ped.consumerNetSalesBasketSizeTypeCoverage', 'ped.consumerMarketShareBasketSizeTypeCoverage']",[],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsbasketsizetypemonthly/PricingAnalyticsBasketSizeTypeMonthlyTask.scala
datalake-ped,PricingAnalyticsSizeTypeTask,['ped.pricinganalytics'],['ped.pricinganalyticssizetype'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticssizetype/PricingAnalyticsSizeTypeTask.scala
datalake-ped,PricingAnalyticsWeeklyPlatformTask,"['ped.b2bDaily', 'ped.b2cDaily']",['ped.pricinganalyticsweeklyplatform'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsweeklyplatform/PricingAnalyticsWeeklyPlatformTask.scala
datalake-ped,PricingAnalyticsWeeklyPlatformReportingTask,"['ped.pricinganalyticsweeklyplatform', 'ped.tireMaster', 'ped.consumerNetSalesCoverage', 'ped.consumerMarketShareCoverage', 'ped.floorPriceEan', 'mdm.countryHierarchy', 'ped.weightingDesignSellin', 'ped.weightingDesignSellout']",['ped.pricingAnalyticsWeeklyPlatformReporting'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsweeklyplatformreporting/PricingAnalyticsWeeklyPlatformReportingTask.scala
datalake-ped,SellinTask,['clean.sellinPricing'],['ped.sellin'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/sellin/SellinTask.scala
datalake-ped,TireMasterTask,"['mdm.tireMaster', 'clean.knowtrexMasterData', 'clean.zero7zrPricing', 'clean.tire24DailyPricing', 'clean.lizeoWeeklyPricing', 'clean.activePricingProducts', 'clean.brandToTierMapping', 'mdm.consumerSizeMaster', 'clean.groupedToBasketSizeTypeMapping', 'clean.basketDefinition']",['ped.tireMaster'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/tiremaster/TireMasterTask.scala
datalake-ped,VendavoTransactionsCalcTask,"['clean.vendavoTransactions', 'clean.edwExchangeRates']",['ped.vendavoTransactionsCalc'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/vendavotransactionscalc/VendavoTransactionsCalcTask.scala
datalake-ped,WeightingConfigurationTask,[],['ped.weightingConfiguration'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/weightingconfiguration/WeightingConfigurationTask.scala
datalake-ped,WeightingDesignSellinTask,"['ped.vendavoTransactionsCalc', 'ped.tireMaster', 'mdm.tireMaster', 'ped.weightingConfiguration']",['ped.weightingDesignSellin'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/weightingdesignsellin/WeightingDesignSellinTask.scala
datalake-ped,WeightingDesignSelloutTask,"['ped.gfkconsumerbasketsizetype', 'ped.weightingConfiguration']",['ped.weightingDesignSellout'],https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/weightingdesignsellout/WeightingDesignSelloutTask.scala
